text_id	sent_id	sentence	meaning	verb_in_sentence	val_type	P_arg	expression_type	deter_present	det_form	notes
mocCA190924_1	1	waʔ  weɾaɲaːˈtʃikima  iko soleːntaqaˈtak  noɣoˈɾik so satʃiqotaˈɣe	bueno  gracias         estamos recordando el sufrimiento de donde venimos	remember	two-place	yes	nominal	no	not_applicable	
mocCA190924_1	1			depart	one-place-ext	yes	morphological	no	not_applicable	
mocCA190924_1	2	peɾoˈjem  ɲaqaˈwe naˈɣi wekaɲaːˈtʃik	pero yo todavía hoy tengo mi agradecimiento	exist	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	3	maˈsokaɾoʁoˈɾikʰ  soʔˈon qamqajˈkaka ʃinˈta  jimʁoɾaˈtom	nuestro sufrimiento me casé y no servía para nada yo era muy pobre	get.married	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	3			be_similar	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	4	qamnaˈɣi  ɲaβaɲiˈɣit daɲowenataʁak jim maʁaɾajk   ɲaːtʃik kalːoviɾaʁak  ɲiwaːnaˈtek doʔqoˈlek	hoy, sin embargo, hayé buena vida, yo estoy bien  Gracias por la llegada de mi conocido criollo	see	two-place	yes	nominal	yes	ɾa	
mocCA190924_1	5	siempɾe loviɾqa najaʔa jim japaʁaɣintak  kama sasaʔden  naɣi sedaːnalo naltaʁajakoʔ  saʔdenataˈʁan	siempre llega a mi casa y me enseña de lo que yo no sé  hoy veo lo que él hablaba  pienso	transfer_knowledge	two-place	yes	sentential	yes	ka	
mocCA190924_1	5			know	two-place	no	not_applicable	not_applicable	not_applicable	
mocCA190924_1	5			look	two-place	yes	nominal	yes	na	
mocCA190924_1	5			know	two-place-taɢan_intr	no	not_applicable	not_applicable	not_applicable	
mocCA190924_1	6	kaiɾa ɾa weɾa ɲaʔaːtʃik weːta ina  ɲijaːlek            seloqotaˈɣit	y doy gracias que mi hijo está aquí también eh, Favio  que estoy enfrente	be	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	6			be_next_to	one-place-ext	yes	nominal	no	not_applicable	
mocCA190924_1	7	siˈempɾe  ɲaqataʁantapɪɣɪɲi riqotʃiɣi lateʔe so qaɾoʁoɾik naɲaqa dosolkaeʔ so qaɾoʁoɾik naɲaqa dosolkaeʔ	siempre estoy hablando bien con su madre de nuestro sufrimiento cuando todavía eran dos	speak	one-place-aɢan_intr-ext	yes	nominal	no	not_applicable	
mocCA190924_1	8	sopaɾaʁanteɣelekena ɲi lateː  isiɣiˈjaq  ɾoqotʃiɣiː isiɣijaq	yo casaba para su madre (cualquier) animal (cualquier) animal que se ve	hunt	one-place-ext	yes	nominal	yes	ñi	
